Modern English Word,Semantic Field,PIE Root,Proto-Germanic,"Old English
(Anglo-Saxon)
450–1150 CE","Old Norse
800–1300 CE","Middle English
1150–1500 CE","Classical Latin
75 BCE–200 CE","Vulgar / Medieval Latin
200–1500 CE","Ancient Greek
800–300 BCE","Old French /
Anglo-Norman
900–1400 CE",Sanskrit,Arabic,Persian / Avestan,Hebrew / Aramaic,"Celtic
(Old Irish / Welsh)",Meaning Drift Notes,Brand Name Candidates,Tone / Register,"Syllables
(Mod. EN)"
Pioneer,Trailblazer / First-mover / Leader,*ped-1 (foot),—,—,—,pionier,—,pedone (foot soldier),—,pionnier,agraja (अग्रज),—,—,—,—,French pionnier=foot soldier going ahead; the one who first clears the path on foot,PIOYN · PEDONE · AGRAJA,French/Latin,3
Pioneering,Trailblazing / Path-making / First,*ped-1 (foot),—,—,—,—,—,—,—,—,—,—,—,—,—,Present participle of pioneer; the active act of going first and clearing the way for others,PIONYR · PEDONIS · AGRAJ,French/Latin,4
Plenitude,Fullness / Abundance / Completeness,*pleh₁- (to fill),—,—,—,plenitude,plenitudo,—,plēthōra (πληθώρα),plénitude,pūrṇatā (पूर्णता),—,—,—,—,Latin plenus=full; plenitude=the state of being completely full to overflowing,PLENIT · PLENITUDO · PLETHON,Latin,3
Potential,Possibility / Latent Power,"*poti- (powerful, lord)",—,—,—,potencial,potentialis,—,dynamis (δύναμις),potentiel,śakti (शक्ति),—,—,—,—,Latin potentia=power; potential=what is possible for a thing by its very nature,POTENT · POTENIS · DYNAMOS,Latin,3
Precision,Exactness / Accuracy / Sharp Focus,"*skei- (to cut, separate)",—,—,—,precisioun,praecisio,—,akribeia (ἀκρίβεια),précision,sūkṣmatā (सूक्ष्मता),—,—,—,—,Latin prae+caedere=to cut before; precision as the cutting away of all that is excess,PRECIS · PRAECIS · AKRIBON,Latin,3
Preeminent,Supreme / Outstanding / Foremost,"*men-2 (to project, stand out)",—,—,—,preminente,praeminens,—,hyperechōn (ὑπερέχων),prééminent,agragaṇya (अग्रगण्य),—,—,—,—,Latin prae+eminere=to project forward; standing out demonstrably above and before all others,PREEM · PRAEMEN · HYPERE,Latin,4
Prevail,Succeed / Overcome / Be Stronger,*wal-2 (to be strong),—,—,—,prevailen,praevalere,—,kratein (κρατεῖν),prévaloir,vijaya (विजय),—,—,—,—,Latin prae+valere=to be stronger in front; prevailing through sheer superior strength,PREVAL · VALERIS · KRATON,Latin,2
Productivity,Output / Effectiveness / Growth,"*deuk- (to lead, produce)",—,—,—,productivite,productivitas,—,energeia (ἐνέργεια),productivité,utpādakatā (उत्पादकता),—,—,—,—,Latin producere=to lead forward; leading resources forward and onward into output,PRODUC · PRODUCTIS · ENERG,Latin,5
Progress,Advance / Forward Motion / Growth,"*ghredh- (to walk, go)",—,—,—,progres,progressus,—,epibasis (ἐπίβασις),progrès,pragati (प्रगति),—,—,—,—,Latin pro+gradi=to step forward; progress as the sequential stepping toward a chosen goal,PROGRES · GRADUS · EPIBAS,Latin,2
Promethean,Bold / Creative / Fire-bringing,*men-4 (to think) + pro-,—,—,—,promethean,—,—,Promētheus (Προμηθεύς),prométhéen,—,—,—,—,—,Greek pro+manthanein=forethought; Prometheus stole fire for humanity; creative defiance of limits,PROMET · MANTHEUS · FORET,Greek,4
Prosper,Succeed / Flourish / Thrive,"*spe-2 (to thrive, prosper)",—,—,—,prosperen,prosperare,—,eutuchein (εὐτυχεῖν),prospérer,samṛddha (समृद्ध),—,—,—,—,Latin prosper=favorable; pro+spes=according to hope; to move in the direction of hope,PROSP · SPERAN · EUTYCH,Latin,2
Prosperity,Wealth / Flourishing / Well-being,"*spe-2 (to thrive, prosper)",—,—,—,prosperite,prosperitas,—,euthumia (εὐθυμία),prospérité,samṛddhi (समृद्धि),—,—,—,—,Latin prosperitas; the quality of things unfolding according to hope and expectation,PROSPER · PROSPERIS · EUTYM,Latin,4
Protection,Defense / Guarding / Safety,"*steg-2 (to cover, thatch)",—,—,—,proteccioun,protectio,—,skepē (σκέπη),protection,rakṣā (रक्षा),—,—,—,—,Latin pro+tegere=to cover in front; protection as a forward-placed covering shield,PROTEC · TECTIS · SKEPON,Latin,3
Purpose,Aim / Intention / Direction,*apo- + *po(i)- (to put),—,—,—,purpos,propositum,—,skopos (σκοπός),propos,lakṣya (लक्ष्य),—,—,—,—,Via French purpos from Latin pro+positum=that which is placed before; a set intention,PURPOS · PROPOS · SKOPOS,French/Latin,2
Quintessence,Fifth Element / Pure Essence,*penkwe (five) + *es- (to be),—,—,—,quintessence,quinta essentia,—,pemptē ousia (πέμπτη οὐσία),quinte-essence,pañcatattva (पञ्चतत्त्व),—,—,—,—,Medieval Latin quinta essentia=fifth essence; beyond the four elements; concentrated pure reality,QUINTES · ESSENTIS · PEMPTE,Latin,4
Quintessential,Purest Form / Most Typical,*penkwe (five) + *es- (to be),—,—,—,quintessential,quinta essentia,—,—,quintessentiel,—,—,—,—,—,Adjective of quintessence; embodying the purest and most concentrated form of something,QUINTESSEL · ESSENT · PURES,Latin,5
Radiance,Light / Brightness / Emanating Glow,"*ret-2 (to run, roll)",—,—,—,radiance,radiantia,—,aktis (ἀκτίς),radiance,prabhā (प्रभा),—,—,—,—,"Latin radius=ray, spoke; radiantia=the streaming of rays outward in all directions",RADIAN · RADIIS · AKTINOS,Latin,3
Rapture,Ecstasy / Seizing Joy / Transport,*rep- (to snatch),—,—,—,rapture,raptura,—,harpagē (ἁρπαγή),ravissement,harṣāvega (हर्षावेग),—,—,—,—,Latin rapere=to seize; rapture=being seized and carried away by overwhelming joy,RAPTUR · RAPTIS · HARPAG,Latin,2
Realization,Making Real / Achieving / Fulfilling,"*rei-2 (property, thing)",—,—,—,realizacioun,—,realizatio,entelecheia (ἐντελέχεια),réalisation,sākṣātkāra (साक्षात्कार),—,—,—,—,Latin res=thing; realization=making a thing real from potential; bringing vision into being,REALIZ · REALIS · ENTELEC,Latin,5
Refulgent,Brilliant / Gleaming / Radiating,"*bhel-1 (to shine, flash)",—,—,—,refulgent,—,refulgere,analampon (ἀναλάμπον),—,bhāsvara (भास्वर),—,—,—,—,Latin re+fulgere=to shine back; the reflected and redirected flash of full brilliance,REFULG · FULGORE · ANALAMP,Latin,3
Regeneration,Rebirth / Renewal / New Life,"*gen- (to give birth, beget)",—,—,—,regeneracioun,regeneratio,—,palingenesia (παλιγγενεσία),régénération,punarjanma (पुनर्जन्म),—,—,—,—,Latin re+generare=to beget again; new birth arising from former life; cyclical renewal,REGENER · GENERIS · PALING,Latin,5
Renaissance,Rebirth / Revival / Cultural Renewal,"*gen- (to give birth, beget)",—,—,—,renaissance,renascentia,—,anabiōsis (ἀναβίωσις),renaissance,punarjīvana (पुनर्जीवन),—,—,—,—,French renaissance=rebirth; Latin renasci=to be born again; spiritual and cultural rebirth,RENAIS · NASCIS · ANABIOX,French/Latin,3
Renewal,Restoration / Freshening / New Again,*newo- (new),—,—,—,renewel,renovatio,—,ananeōsis (ἀνανέωσις),renouvellement,navīkaraṇa (नवीकरण),—,—,—,—,Latin re+novus=new again; the making fresh of what had grown old or worn,RENEW · NOVATIO · ANANEOS,Latin/Germanic,3
Resilience,Rebounding / Elasticity / Recovery,"*sel-4 (to jump, leap)",—,—,—,resilience,—,resilire,anakinēsis (ἀνακίνησις),résilience,pratyāsthāna (प्रत्यास्थान),—,—,—,—,Latin re+salire=to spring back; the elastic rebound after being pressed or broken,RESIL · SALIRE · ANAKIN,Latin,4
Resolve,Determination / Will / Decision,*leu-1 (to loosen),—,—,—,resolven,resolvere,—,krisis (κρίσις),résoudre,saṅkalpa (संकल्प),—,—,—,—,Latin re+solvere=to loosen again; a problem resolved=untangled; decision as clarity through release,RESOLV · SOLVERE · KRISIS,Latin,2
Resonance,Echo / Harmony / Vibration,*swen-2 (to sound),—,—,—,resonance,resonantia,—,antēchēsis (ἀντήχησις),résonance,pratidhvani (प्रतिध्वनि),—,—,—,—,Latin re+sonare=to sound again; vibration that echoes back in sympathetic harmony,RESON · SONARE · ANTECHOS,Latin,3
Resplendent,Brilliant / Glorious / Shining,*spel-1 (to shine),—,—,—,resplendent,—,resplendere,eklampon (ἐκλάμπον),resplendissant,tejasvin (तेजस्विन्),—,—,—,—,Latin re+splendere=to shine back with full glory; radiating brilliance outward in all directions,RESPLEND · SPLENDOR · EKLAMN,Latin,3
Revelation,Unveiling / Disclosure / Discovery,*kel-4 (to cover) neg.,—,—,—,revelacioun,revelatio,—,apokalupsis (ἀποκάλυψις),révélation,prakāśana (प्रकाशन),—,—,gālāh (גָּלָה),—,Hebrew gālāh and Greek apokalupsis both=uncovering; lifting the veil from what was hidden,REVEAL · VELAMEN · APOKAL,Latin/Hebrew,4
Sagacity,Wisdom / Keen Perception / Sharp Mind,"*sag- (to seek out, perceive)",—,—,—,sagacite,sagacitas,—,phronēsis (φρόνησις),sagacité,viveka (विवेक),—,—,—,—,Latin sagax=of keen scent; sagacity as tracking wisdom like a hound hunts by nose,SAGAC · SAGACIS · PHRONES,Latin,4
Samadhi,Deep Meditation / Union / Stillness,"*dhē-1 (to put, place)",—,—,—,—,—,—,—,—,samādhi (समाधि),—,—,—,—,Sanskrit sam+ā+dhā=complete placing together; the complete settling of mind into perfect stillness,SAMADH · SAMADHIS · DHANUS,Sanskrit,3
Satori,Sudden Awakening / Insight / Clarity,—,—,—,—,—,—,—,—,—,satori (悟り),—,—,—,—,Japanese satoru=to understand suddenly; Zen Buddhist sudden awakening and seeing-through,SATORI · SATORU · ZENSHO,Japanese,3
Scintillating,Sparkling / Brilliant / Vivid,"*sken-2 (to cut, leap)",—,—,—,scintillant,scintillare,—,stilbōn (στίλβων),scintillant,—,—,—,—,—,Latin scintilla=spark; to scintillate=to emit rapid sparks; brilliant wit as mental sparking,SCINT · SCINTILL · STILBON,Latin,4
Seminal,Founding / Generative / Seed-like,*sē-1 (to sow),—,—,—,seminal,seminalis,—,spermatikos (σπερματικός),séminal,bījabhūta (बीजभूत),—,—,zera' (זֶרַע),—,Latin semen=seed; seminal=of or like seed; ideas that plant themselves and grow invisibly,SEMIN · SEMINIS · SPERMIK,Latin,3
Seraphic,Heavenly / Burning / Divinely Pure,—,—,—,—,seraphic,—,—,—,séraphique,—,—,—,śərāp̄îm (שְׂרָפִים),—,Hebrew śāraph=to burn; seraphim=the burning ones; angelic fire as the quality of purification,SERAPH · SARAPH · SERAPHIN,Hebrew,3
Serenity,Calm / Stillness / Peace / Clear Sky,"*ksei-1 (to burn, shine; serene sky)",—,—,—,serenite,serenitas,—,galēnē (γαλήνη),sérénité,śāntatā (शान्तता),—,—,—,—,"Latin serenus=clear, calm sky; serenity=the undisturbed clarity of perfect open sky",SEREN · SERENUS · GALENE,Latin,4
Skill,Ability / Mastery / Craft,"*skel-1 (to cut, divide)",*skillją,—,"skil (distinction, discernment)",skille,"ars, calliditas",—,technē (τέχνη),—,kauśala (कौशल),—,—,—,—,Old Norse skil=distinction; skill=the ability to cut fine distinctions; discernment made dexterous,SKIL · SKILJA · TECHON,Norse,1
Sovereign,Supreme / Independent / Royal,*uper (over),—,—,—,soveraigne,—,superanus,autokratōr (αὐτοκράτωρ),soverain,rājan (राजन्),—,—,—,—,Vulgar Latin superanus=the one above all; sovereignty as being above every constraint,SOVRAN · SUPERAN · AUTOKR,French/Latin,3
Sovereignty,Supreme Power / Self-rule / Authority,*uper (over),—,—,—,soverainete,—,—,kyriotes (κυριότης),souveraineté,sārvasvā (सार्वस्व),—,—,—,—,The quality of being sovereign; absolute authority and complete self-determination,SOVRANTY · SUPRANIS · KYRIO,French/Latin,4
Splendor,Brilliance / Magnificence / Glory,*spel-1 (to shine),—,—,—,splendour,splendor,—,lampotēs (λαμπότης),splendeur,pratāpa (प्रताप),—,—,—,—,Latin splendere=to shine; splendor=the quality of shining brilliantly; visual magnificence,SPLEND · SPLENDOR · LAMPOS,Latin,2
Sprint,Fast Run / Burst of Speed,*sprengh- (to move hastily),*sprentan,—,sprinta (to sprint),sprenten,—,—,—,—,—,—,—,—,—,Old Norse/Middle Low German; a short maximal burst of speed; Germanic speed-word,SPRINT · SPRINTA · SPRENGUR,Germanic/Norse,1
Stewardship,Care / Management / Trusted Guardianship,"*wer-4 (to perceive, watch)",*wardaz,stīweard (hall-ward),—,stewardshipe,—,—,oikonomia (οἰκονομία),—,gṛhasthya (गृहस्थ्य),—,—,—,—,Old English stī+weard=hall-guardian; the trusted keeper of an inner space,STEWARD · STIWARD · OIKNO,Germanic,3
Strength,Power / Force / Vigor,"*strenk- (tight, narrow, firm)",*strengiz,strengþu / strencþ,styrkr (strength),strencthe,robur,—,alkē (ἀλκή),—,bala (बल),—,—,—,—,Pure Old English root; tight-coiled tension becoming force; the most native English power-word,STRENG · STRENGR · STYRKIN,Germanic,1
Success,Achievement / Favorable Outcome,"*ked-1 (to go, yield)",—,—,—,succes,successus,—,eutychia (εὐτυχία),succès,safala (सफल),—,—,—,—,Latin sub+cedere=to come after; success=the good result that follows from the effort,SUCCES · CESSOR · EUTYCH,Latin,2
Summit,Peak / Highest Point / Crown,"*uper (over, above)",—,—,—,somet,summum,—,koruphē (κορυφή),sommet,śikhara (शिखर),—,—,—,—,Latin summum=the highest; the mathematical supremum; the absolute crown of a form,SUMMIT · SUMMUM · KORUPH,French/Latin,2
Summum,Highest / Supreme Good,"*uper (over, above)",—,—,—,summum,summum bonum,—,to ariston (τὸ ἄριστον),—,paramamaṅgala (परममंगल),—,—,—,—,Latin summum bonum=the highest good; philosophical term for the ultimate value,SUMMUM · SUMMUS · ARISTON,Latin,2
Supernal,Heavenly / Above / Divine,"*uper (over, above)",—,—,—,supernal,—,supernalis,ouranios (οὐράνιος),suprême,divya (दिव्य),—,—,—,—,Medieval Latin supernalis from super=above; of the realm above; divine elevation of quality,SUPERN · SUPERNUS · OURANX,Latin,3
Superorganism,Collective Being / Meta-entity,*uper (over) + *werg-1,—,—,—,—,—,—,hyperorganismos (ὑπερόργανισμός),superorganisme,mahājīva (महाजीव),—,—,—,—,Latin super + Greek organism; an organism made of organisms; collective intelligence as life,SUPERORG · HYPERJIV · MEGORG,Latin/Greek,5
Support,Hold / Sustain / Help / Uplift,*per-1 (to carry through),—,—,—,supporte,—,supportare,hyposterizō (ὑποστηρίζω),supporter,ādhāra (आधार),—,—,—,—,Latin sub+portare=to carry from below; support as holding from underneath,SUPPOR · PORTARE · HYPOST,Latin,2
Swiftness,Speed / Quickness / Agility,"*swei-2 (to bend, swerve)",*swiftaz,swift,—,swiftnesse,velocitas,—,tachytes (ταχύτης),—,tīvratā (तीव्रता),—,—,—,—,Old English swift; the bending/curving motion of something moving at high speed,SWIFT · SWYFTE · TACHOS,Germanic,2
Symbiosis,Mutual Living / Interdependence,*gwei- (to live),—,—,—,symbiose,—,—,symbiōsis (συμβίωσις),symbiose,sahajīvana (सहजीवन),—,—,—,—,Greek sym+biōsis=living together; coined 1879 by Heinrich Anton de Bary; mutual benefit,SYMBIO · SYMBIOX · SAHAJIV,Greek,4
Synthesis,Combination / Unity-making,"*dhē-1 (to put, place)",—,—,—,synthese,—,—,synthesis (σύνθεσις),synthèse,samāhāra (समाहार),—,—,—,—,Greek syn+thesis=a placing together; the combination of separate parts into a new whole,SYNTH · SYNTHEIS · SAMAH,Greek,3
Synthesize,Combine / Integrate / Unify,"*dhē-1 (to put, place)",—,—,—,—,—,—,syntithenai (συντιθέναι),synthétiser,samāhṛ (समाहृ),—,—,—,—,Verb form of synthesis; to actively perform the synthesis of separate elements,SYNTHEZ · SYNTHET · SAMAHR,Greek,3
Telos,Purpose / End / Goal / Final Cause,"*kwel-1 (to revolve, complete)",—,—,—,telos,—,—,telos (τέλος),—,lakṣya (लक्ष्य),—,—,—,—,"Greek telos=end, completion, purpose; Aristotle's final cause; the 'why' of every thing",TELOS · TELIKON · TELOST,Greek,2
Thriving,Flourishing / Growing / Prospering,"*trep-2 (to turn, transform)",*þriban,—,"þrífa (to grasp, thrive)",thriving,—,—,—,—,samṛddha (समृद्ध),—,—,—,—,Old Norse þrífa=to grasp/seize; to thrive=to grasp growth; Viking word for prospering,THRIV · THRIFA · TRIFAN,Norse,2
Titanic,Immense / Overwhelming / Primal Power,—,—,—,—,titanic,—,—,Titanikos (Τιτανικός),titanique,—,—,—,—,—,"From the Titans, elder gods of Greek myth; pre-Olympian primal power; beyond human measure",TITAN · TITANIS · TITANIC,Greek,3
Trailblazer,Pioneer / Innovator / Pathfinder,*trag- + *bhel- (to shine),—,—,blesi (white mark),trailblazer,—,—,—,—,—,—,—,—,—,Old Norse blesi=white spot; blazing=marking trees with white cuts to show the path,TRAILBL · BLAZON · BLESIN,Germanic/Norse,3
Trailblazing,Pioneering / Path-making,*trag- + *bhel-,—,—,—,—,—,—,—,—,—,—,—,—,—,Active form of trailblazer; the continuous act of marking a new path for those who follow,TRAILBLAZ · BLASING · BLESK,Germanic/Norse,4
Transcend,Rise Above / Go Beyond / Surpass,"*skand- (to spring, climb)",—,—,—,transcenden,transcendere,—,hyperechein (ὑπερέχειν),transcender,atikrama (अतिक्रम),—,—,—,—,Latin trans+scandere=to climb across and over; ascending beyond all previous limits,TRANSCEN · SCANDIS · HYPEREX,Latin,2
Transcendence,Beyondness / Rising Above Limits,"*skand- (to spring, climb)",—,—,—,transcendence,transcendentia,—,hyperochē (ὑπεροχή),transcendance,atīndriya (अतीन्द्रिय),—,—,—,—,The state of transcending; being fundamentally beyond the limits of ordinary experience,TRANSCEND · SCANDENTIA · HYPERON,Latin,3
Transformation,Change / Metamorphosis / New Form,*bher-1 (to carry) + form-,—,—,—,transformacioun,transformatio,—,metamorphōsis (μεταμόρφωσις),transformation,pariṇāma (परिणाम),—,—,—,—,Latin trans+formare=to change shape across a threshold; carrying form through change,TRANSFORM · FORMATIO · METAMOR,Latin,4
Transformative,Change-making / Altering / Renewing,*bher-1 + form-,—,—,—,—,—,—,—,transformatif,pariṇāmī (परिणामी),—,—,—,—,Adjective of transformation; having the inherent capacity to fundamentally alter nature,TRANSFOR · FORMANS · MORPHIK,Latin,4
Triumph,Victory / Celebration / Conquest,*dhreibh-? / Etruscan,—,—,—,triumphe,triumphus,—,thriambos (θρίαμβος),triomphe,vijaya (विजय),—,—,—,—,Latin triumphus possibly from Etruscan or Greek thriambos (hymn to Dionysus); processional victory,TRIUMPH · TRIUMPHOR · THRIAM,Latin/Etruscan,2
Trust,Confidence / Faith / Reliance,"*deru- (firm, solid, oak, true)",*traustą,—,traust (confidence),trust,fides,—,pistis (πίστις),—,viśvāsa (विश्वास),—,—,—,—,Old Norse traust=confidence; trust as the firmness of oak wood; faith as durability,TRAUST · TRAUSTIR · PISTIS,Norse,1
Unassailable,Invincible / Secure / Impenetrable,*sel-4 (to jump) neg.,—,—,—,unassaillable,inexpugnabilis,—,aheires (ἄεirεs),inassaillable,atakṣya (अतक्ष्य),—,—,—,—,Old French assaillir=to jump upon; un+assailable=cannot be jumped upon or attacked,UNASSAL · SALIERENT · AHEIRES,French/Latin,5
Understanding,Comprehension / Grasp / Deep Knowing,*sta-1 (to stand),*standaną,understandan,skilja (to understand),understonden,intelligentia,—,synesis (σύνεσις),—,bodha (बोध),—,—,—,—,Old English understandan=to stand in the midst of; to understand by being surrounded by,UNDERST · STANDAN · SYNEIS,Germanic,4
Unify,Make One / Combine / Bring Together,*oi-no- (one),—,—,—,unifien,unificare,—,henoun (ἑνοῦν),unifier,ekīkaraṇa (एकीकरण),—,—,yāḥad (יָחַד),—,Latin unus+facere=to make one; the active combining of many into a single unity,UNIFY · UNIFIS · HENOUN,Latin,3
Unity,Oneness / Wholeness / Togetherness,*oi-no- (one),—,—,—,unite,unitas,—,henotes (ἑνότης),unité,ekatā (एकता),waḥda (وحدة),—,echad (אֶחָד),aon (Old Irish: one),"Latin unitas from unus=one; the PIE *oi-no gives one, unique, union, unit; primordial oneness",UNITY · UNITAK · HENOTES,Latin,3
Unparalleled,Matchless / Unique / Incomparable,*par- (equal),—,—,—,unparalleled,incomparabilis,—,asymmetros (ἀσύμμετρος),sans pareil,anupama (अनुपम),—,—,—,—,Latin un+parallelus=not beside the other; nothing runs alongside it; alone in its kind,UNPAR · PARALLAX · ANUPAM,Latin/Greek,4
Uplift,Elevate / Raise / Inspire / Lighten,*upo (up) + *legwh- (light),*up + *liftijaną,up + lyft (air),upp + lyfta,uplifte,—,—,—,—,unnati (उन्नति),—,—,—,—,Germanic compound; lyft=air/sky; the air beneath a thing raises it; uplift as buoyancy,UPLIFT · UPPLIFTE · UNNATI,Germanic,2
Utopia,Ideal / Perfect Place / Vision,*ou- (not) + *top- (place),—,—,—,—,—,—,outopia (οὐτοπία),utopie,—,—,—,—,—,Coined by Thomas More 1516; Greek ou+topos=no-place; the ideal that exists nowhere yet,UTOP · OUTOPIA · ATOPOS,Greek (coinage),3
Vanguard,Leading Edge / Forefront / First,"*wer-4 (perceive, watch) + ab ante",—,—,—,—,—,—,—,avant-garde,agragāmī (अग्रगामी),ṭalīʿa (طليعة),pīshāhang (پیشاهنگ),—,—,Middle French avant-garde=before-guard; those who go first to watch ahead for others,VANGRD · AVANGAR · AGRAGAM,French,2
Velocity,Speed / Swiftness / Rate of Motion,"*wel-3 (to turn, roll)",—,—,—,velocite,velocitas,—,tachytes (ταχύτης),vélocité,tīvragati (तीव्रगति),—,—,—,—,Latin velox=swift; possibly from volvere=to roll; speed imagined as rolling forward,VELOC · VELOX · TACHOS,Latin,4
Verdancy,Greenness / Freshness / Vitality,*wei-1 (to wither) neg.,—,—,—,verdauncy,viriditas,—,chlōrotēs (χλωρότης),verdeur,haritā (हरिता),—,—,—,—,Latin viridis=green; virere=to be green; fresh green as the visible color of living growth,VERDAN · VIRIDIS · CHLOROT,Latin,3
Verve,Enthusiasm / Energy / Spirited Flair,*wer-6 (to speak),—,—,—,—,verba (words),—,—,"verve (fancy, caprice)",ūrjā (ऊर्जा),—,—,—,—,French verve from Latin verba=words; verve=the inspired verbal spirit; energy as expression,VERVE · VERVAK · URJAS,French/Latin,1
Victory,Win / Triumph / Conquest,"*weik-3 (to fight, conquer)",—,—,—,victorie,victoria,—,nikē (νίκη),victoire,vijaya (विजय),—,—,—,—,Latin vincere=to conquer; victoria=goddess of victory; Greek Nike=same concept,VICTOR · VINCERE · NIKON,Latin,3
Vigor,Vitality / Energy / Liveliness,"*weg-1 (to be strong, lively)",—,—,—,vigour,vigor,—,tonos (τόνος),vigueur,ojas (ओजस्),—,—,—,—,Latin vigor from vigere=to be lively; the active liveliness present in a fully living body,VIGOR · VIGORIS · TONOS,Latin,2
Vision,Sight / Foresight / Dream / Ideal,*weid-1 (to see),—,—,—,visioun,visio,—,horasin (ὅρασιν),vision,dṛṣṭi (दृष्टि),ruʾya (رُؤْيَا),—,hazon (חָזוֹן),—,Latin videre=to see; Hebrew hazon=prophetic vision; sight as both physical and beyond-physical,VISIO · VIDERE · HORASIN,Latin,2
Visionary,Seer / Dreamer / Prophet / Pioneer,*weid-1 (to see),—,—,—,visionarye,—,—,prophētēs (προφήτης),visionnaire,dṛṣṭā (दृष्टा),—,—,nabī (נָבִיא),—,Extended form; one whose vision surpasses the ordinary and sees what does not yet exist,VISION · VIDEROS · PROPHET,Latin,4
Vitality,Life-force / Energy / Full Aliveness,*gwei- (to live),—,—,—,vitalite,vitalitas,—,zōē (ζωή),vitalité,prāṇa-śakti (प्राणशक्ति),—,—,hayyim (חַיִּים),—,Latin vita=life; vitality=the quality of being fully alive and thriving in every capacity,VITAL · VITALIS · ZOEIS,Latin,4
Vitalize,Energize / Bring to Life / Animate,*gwei- (to live),—,—,—,—,—,vitalizare,zōopoiein (ζῳοποιεῖν),vitaliser,prāṇita (प्राणित),—,—,—,—,Verb: to give life to; to fill with vital force; animating what was formerly inert,VITALIZ · VITANS · ZOOPOIX,Latin,3
Wholeness,Completeness / Health / Unity,"*kailo- (whole, uninjured, good omen)",*hailaz,"hāl (whole, healthy)","heill (whole, healthy)",holnesse,integritas,—,holoklēria (ὁλοκληρία),—,pūrṇatā (पूर्णता),—,—,—,—,"OE hāl; same root as hale, heal, health, holy; wholeness and holiness are a single root",HAELTH · HAILAZ · HOLOKL,Germanic,2
Wisdom,Knowledge / Understanding / Insight,"*weid-1 (to see, know)",*wissą,wīsdōm,vísdomr,wisdom,sapientia,—,sophia (σοφία),sapience,prajñā (प्रज्ञा),ḥikma (حِكْمَة),—,ḥokmāh (חָכְמָה),—,OE wīsdōm=knowledge-judgment; Greek sophia; Hebrew ḥokmāh; Sanskrit prajñā; all cultures named this,WISDO · VISDOME · SOPHIA,Germanic,2
Wondrous,Amazing / Marvelous / Astonishing,*wun-2 (to strive for),*wundrą,wundor (marvel),undr (wonder),wondrous,mirabilis,—,thaumasios (θαυμάσιος),merveilleux,āścarya (आश्चर्य),—,—,—,—,Pure Old English wundor; the striving toward that which exceeds explanation,WUNDR · WUNDRE · THAUMAX,Germanic,2
Zenith,Highest Point / Peak / Crown,—,—,—,—,cenyth,—,—,—,zénith,—,samt (سمت),—,—,—,Arabic samt ar-raʾs=direction of the head; the point directly overhead; the ultimate height,ZENIT · SAMTIR · SEMIT,Arabic,2
